y0,y1,y2
-0.992,0.885,0.927
-0.224,-0.74,-0.871
-0.514,0.64,-0.325
-0.694,0.61,0.76
0.344,0.794,0.819
0.317,-0.715,0.735
0.155,0.866,0.763
-0.831,0.244,-0.845
0.075,0.447,0.704
0.821,-0.952,0.722
-0.201,-0.574,0.867
-0.703,-0.457,-0.577
-0.797,-0.519,-0.907
0.151,0.706,0.336
0.696,-0.489,0.527
0.553,0.588,-0.918
0.655,0.103,-0.695
0.502,0.919,-0.302
0.357,-0.135,-0.247
-0.551,-0.063,-0.978
-0.191,-0.457,0.403
0.886,-0.464,-0.855
0.081,-0.744,0.407
-0.298,-0.355,0.757
-0.324,0.884,-0.535
0.006,0.216,0.471
0.721,0.707,-0.941
0.328,0.979,-0.448
-0.287,0.534,-0.669
-0.843,0.56,0.31
-0.316,0.898,0.743
0.361,-0.694,0.339
-0.44,0.646,0.106
0.801,-0.93,-0.793
0.278,-0.532,-0.451
0.941,0.093,0.612
0.241,-0.965,0.464
-0.507,0.171,-0.591
-0.766,0.482,-0.049
-0.878,-0.232,0.851
0.21,0.863,-0.284
-0.574,-0.954,-0.442
-0.079,0.584,-0.812
0.545,-0.07,0.703
-0.295,-0.94,0.944
-0.888,0.132,-0.449
-0.056,0.374,0.899
-0.597,0.071,0.758
0.108,0.707,-0.052
0.733,0.027,0.607
0.474,0.761,-0.802
0.147,0.386,0.894
0.125,0.224,0.896
0.906,-0.432,0.427
0.41,-0.572,-0.35
-0.855,-0.644,-0.8
0.193,-0.669,0.106
-0.697,-0.35,-0.135
0.312,-0.829,0.467
-0.103,0.667,0.754
-0.871,0.301,0.689
0.604,0.596,0.211
-0.747,0.084,-0.907
-0.1,0.305,0.349
-0.667,0.939,-0.097
0.022,-0.849,0.059
-0.921,-0.9,-0.39
0.062,0.6,-0.962
0.31,0.984,0.742
-0.251,-0.05,0.243
-0.239,-0.921,0.67
-0.598,0.849,-0.993
-0.107,0.609,0.897
0.396,-0.736,-0.27
0.329,-0.059,-0.966
0.952,-0.53,0.087
-0.513,-0.948,0.659
0.669,0.867,0.419
-0.489,0.362,0.431
0.3,0.224,0.059
-0.877,-0.086,-0.717
0.13,0.868,0.451
-0.547,-0.575,0.814
-0.446,0.209,0.913
-0.159,-0.688,0.505
-0.212,0.588,-0.648
-0.003,-0.567,0.693
0.887,0.479,0.863
0.659,-0.346,0.411
0.841,-0.011,0.835
-0.093,-0.012,-0.496
-0.919,0.204,0.69
-0.947,0.741,-0.796
-0.758,0.54,0.363
0.374,0.556,0.612
0.646,-0.056,0.974
-0.72,-0.851,0.462
0.775,-0.071,-0.975
-0.576,-0.675,0.47
0.835,-0.06,0.165
0.366,0.749,-0.069
0.971,0.704,0.472
-0.199,-0.232,-0.135
-0.558,0.123,0.157
-0.506,0.949,-0.766
0.616,0.037,-0.985
0.202,-0.312,-0.253
0.546,-0.955,0.907
-0.045,-0.437,-0.857
0.774,-0.34,-0.879
0.677,0.952,-0.279
0.232,-0.486,0.547
0.57,0.575,-0.943
0.91,-0.337,-0.112
0.392,0.361,-0.546
0.544,0.721,0.377
-0.424,0.504,0.719
0.098,0.849,0.311
0.085,-0.884,0.95
-0.009,0.861,0.093
-0.613,-0.77,0.178
0.747,-0.282,0.326
-0.87,0.883,0.249
-0.327,-0.042,0.632
-0.489,0.943,0.866
0.891,-0.337,-0.164
0.987,0.006,-0.496
-0.282,-0.253,-0.487
-0.095,-0.804,-0.334
0.937,-0.757,0.763
-0.818,0.67,-0.372
0.471,-0.918,-0.965
-0.481,0.316,-0.924
0.93,0.288,-0.563
-0.976,-0.025,-0.883
-0.32,0.971,0.153
-0.388,0.524,-0.609
-0.84,-0.48,0.512
0.007,-0.573,0.682
-0.099,0.897,0.774
0.222,0.502,0.485
-0.285,-0.728,-0.851
-0.071,0.205,-0.752
0.303,-0.165,-0.647
-0.518,-0.476,-0.361
0.557,-0.072,0.034
0.269,0.577,-0.476
-0.343,0.586,0.712
-0.212,0.929,0.808
0.188,-0.665,-0.674
0.563,-0.578,-0.555
0.159,0.803,-0.51
0.097,-0.735,-0.504
0.803,0.978,0.009
-0.695,0.322,0.739
0.554,0.189,-0.987
0.41,0.045,-0.842
0.169,-0.251,0.713
-0.045,0.982,-0.578
0.026,0.232,0.232
-0.427,-0.229,0.2
0.406,-0.2,0.339
0.628,-0.417,-0.258
0.051,0.369,0.609
-0.594,0.494,0.439
-0.903,0.374,-0.048
0.332,-0.572,-0.164
-0.578,-0.677,-0.658
-0.207,0.942,0.794
-0.705,-0.161,0.784
0.693,-0.84,0.787
-0.216,0.12,0.587
-0.907,-0.701,0.421
-0.229,-0.663,0.435
0.673,-0.273,0.329
-0.375,0.077,0.212
-0.991,0.345,0.37
-0.455,0.45,0.538
0.296,0.093,0.729
-0.536,0.287,0.341
0.022,-0.769,-0.388
-0.148,-0.601,-0.85
0.838,-0.35,0.665
0.852,0.208,0.651
-0.138,0.382,0.614
-0.049,-0.981,0.138
-0.11,-0.455,-0.382
-0.266,0.902,0.438
-0.747,-0.701,-0.98
0.137,-0.952,0.81
0.573,0.031,0.25
0.206,-0.497,-0.112
-0.308,0.904,-0.164
-0.76,0.693,-0.802
0.718,0.909,0.439
0.555,0.57,-0.005
-0.936,0.925,0.501
0.806,-0.635,0.596
-0.193,0.008,-0.322
0.138,0.573,-0.905
-0.053,-0.739,-0.397
0.853,-0.955,0.407
0.127,0.442,0.643
-0.024,-0.781,0.188
-0.803,0.696,0.628
-0.726,0.509,0.363
-0.829,-0.863,0.312
0.622,0.525,0.049
0.875,-0.581,0.887
0.227,0.551,0.77
0.583,-0.774,0.465
-0.984,0.001,0.01
-0.148,0.992,0.389
0.762,0.683,-0.68
-0.381,-0.837,0.292
0.03,-0.522,-0.129
-0.576,-0.344,0.832
-0.411,0.665,0.834
-0.316,0.997,0.162
-0.577,0.632,-0.989
-0.845,-0.598,-0.368
-0.536,0.986,-0.324
0.576,-0.237,0.213
0.708,-0.303,-0.021
0.862,0.34,0.003
-0.952,0.348,0.458
-0.218,-0.459,0.703
-0.884,-0.226,0.939
0.365,-0.259,-0.265
-0.904,0.635,0.296
0.703,0.15,0.423
0.657,-0.022,-0.792
0.492,-0.855,-0.892
-0.09,0.98,-0.577
0.02,-0.674,-0.128
-0.453,-0.334,0.474
